ID,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,y
26,0.000648036,1840,438.75,1,0.490909091,1200,0.533333333,0.38028169,22400,0.459924464,C2,square
27,,276,,0.667,0.072727273,120,0.08,0.037577465,2800,,C4,square
28,0.004050223,11500,391.3,0.746,2.736363636,5595,3.333333333,1.581309859,122220,0.023667217,C1,square
29,,1495,269.75,0.938,0.245454545,915,0.433333333,0.178352113,17640,,C2,square
30,0.001377076,3128,296.4,0.824,0.563636364,1680,0.906666667,0.359774648,34720,0.040807397,C3,square
31,,1104,,0.813,0.172727273,585,0.32,0.10878169,12180,,C2,square
32,0.002754151,7038,187.2,0.641,0.8,2940,2.04,0.397239437,70280,,C1,square
33,,17802,,0.565,1.372727273,6555,5.16,0.600809859,169540,,C2,square
34,0.012555691,35650,213.85,0.601,4.636363636,13965,10.33333333,2.158521127,347340,,C3,square
35,0.000810045,1380,292.5,0.85,0.245454545,765,0.4,0.161619718,15540,,C1,square
36,0.002430134,13800,281.45,0.597,2.363636364,5370,4,1.093098592,134120,,C4,square
37,0.003078169,6118,269.1,0.846,1,3375,1.773333333,0.655352113,68740,,C3,square
38,,7176,252.2,0.933,1.1,4365,2.08,0.795021127,84420,,C1,square
39,0.00291616,6624,209.95,0.781,0.845454545,3375,1.92,0.5115,71820,,C2,square
40,0.002025111,4025,215.15,0.891,0.527272727,2340,1.166666667,0.363929577,46340,,C4,square
41,0.015147833,25806,122.2,0.591,1.918181818,9945,7.48,0.878176056,249900,,C1,square
42,,920,,1,0.145454545,600,0.266666667,0.112676056,11200,,C3,square
43,,1840,,0.988,0.318181818,1185,0.533333333,0.243521127,22260,,C3,square
44,,37467,,0.661,3.218181818,16155,10.86,1.64784507,378840,,C3,square
45,,736,,0.781,0.1,375,0.213333333,0.0605,7980,,C3,square
46,0.034345889,156032,241.15,0.563,22.85454545,57300,45.22666667,9.967478873,1484560,,C4,square
47,0.002835156,8050,219.05,0.714,1.072727273,3750,2.333333333,0.593323944,84000,,C4,square
48,0.004860267,1380,141.05,1,0.118181818,900,0.4,0.091549296,16800,,C3,square
49,0.002835156,8050,282.1,0.803,1.381818182,4215,2.333333333,0.859549296,88340,,C2,square
50,0.001539085,3933,174.85,0.643,0.418181818,1650,1.14,0.208295775,39340,,C1,square
51,0.001377076,3519,339.95,0.869,0.727272727,1995,1.02,0.489577465,40040,0.143763915,C3,square
52,0.008667477,22149,248.95,0.858,3.354545455,12390,6.42,2.229591549,250460,,C4,square
53,,37260,,0.759,5.509090909,18450,10.8,3.239112676,399000,,C4,square
54,0.01563386,35512,260,0.829,5.609090909,19200,10.29333333,3.60206338,395360,,C2,square
55,0.018226002,67275,164.45,0.893,6.727272727,39180,19.5,4.653661972,775180,,C4,square
56,0.011016606,3128,625.95,1,1.190909091,2040,0.906666667,0.922535211,38080,0.227707993,C4,circle
57,0.002673147,6831,245.05,0.842,1.018181818,3750,1.98,0.664112676,76580,,C3,square
58,0.003483192,7912,254.8,0.927,1.227272727,4785,2.293333333,0.881302817,92820,,C3,square
59,0.004212232,13156,170.3,0.858,1.363636364,7365,3.813333333,0.906338028,148820,,C1,square
60,0.025192386,92989,140.4,0.759,7.936363636,46035,26.95333333,4.666246479,995680,,C2,square
61,,18630,,0.81,2.054545455,9840,5.4,1.28915493,205240,,C4,square
62,0.003726205,10580,235.95,0.843,1.518181818,5820,3.066666667,0.991415493,118720,,C2,square
63,0.000972053,3036,295.75,0.977,0.545454545,1935,0.88,0.412816901,36540,0.206303432,C1,square
64,0.001215067,3450,195,1,0.409090909,2250,1,0.316901408,42000,,C4,square
65,,3220,,0.9,0.590909091,1890,0.933333333,0.411971831,37240,,C4,square
66,0.00672337,19090,172.9,0.827,2.009090909,10290,5.533333333,1.287091549,212240,,C2,square
67,,345,,0.8,0.072727273,180,0.1,0.045070423,3780,,C2,square
68,,7406,,0.994,0.872727273,4800,2.146666667,0.672,89880,,C3,square
69,0.043499392,24702,403.65,0.747,6.063636364,12030,7.16,3.508795775,262640,0.727114556,C3,circle
70,0.026893479,68724,103.35,0.712,4.327272727,31920,19.92,2.386704225,716240,,C3,square
71,0.000972053,2208,277.55,1,0.372727273,1440,0.64,0.288732394,26880,,C1,square
72,0.004212232,10764,198.9,0.718,1.3,5040,3.12,0.723056338,112560,,C4,square
73,,828,271.05,0.944,0.136363636,510,0.24,0.09971831,9800,,C2,square
74,0.008667477,22149,232.05,0.693,3.127272727,10005,6.42,1.678816901,228200,,C2,square
75,0.005589307,12696,140.4,0.643,1.081818182,5325,3.68,0.538852113,126980,,C1,square
76,0.007938437,27048,173.55,0.627,2.854545455,11055,7.84,1.386464789,267820,,C2,square
77,,38870,,0.697,6.027272727,17670,11.26666667,3.254302817,401520,,C2,square
78,,3680,,0.981,0.6,2355,1.066666667,0.455957746,44380,,C3,square
79,,11730,155.35,0.725,1.109090909,5550,3.4,0.622887324,123200,,C1,square
80,,20608,,0.786,1.381818182,10560,5.973333333,0.841352113,224000,,C3,square
81,0.010125557,20125,188.5,0.735,2.309090909,9645,5.833333333,1.31471831,212520,,C1,square
82,,4140,,0.744,0.472727273,2010,1.2,0.272450704,43960,,C2,square
83,0.004860267,1380,130,1,0.109090909,900,0.4,0.084507042,16800,,C3,square
84,0.001053058,299,499.85,1,0.090909091,195,0.086666667,0.070422535,3640,0.803555662,C4,square
85,,736,,0.344,0.072727273,165,0.213333333,0.019380282,6020,,C1,square
86,0.000810045,1610,213.85,1,0.209090909,1050,0.466666667,0.161971831,19600,,C1,square
87,,19596,395.2,0.866,4.709090909,11070,5.68,3.159070423,222600,0.839428438,C2,square
88,0.022600243,6417,626.6,1,2.445454545,4185,1.86,1.894366197,78120,0.170529933,C4,circle
89,0.00072904,621,192.4,0.667,0.072727273,270,0.18,0.037577465,6300,,C1,square
90,0.00072904,1863,232.7,0.728,0.263636364,885,0.54,0.148676056,19600,,C4,square
91,8.10E-05,851,650,1,0.336363636,555,0.246666667,0.26056338,10360,0.829355529,C4,circle
92,0.00072904,1656,234.65,0.903,0.236363636,975,0.48,0.165338028,19180,,C3,square
93,,18032,,0.874,1.572727273,10275,5.226666667,1.064802817,205660,,C3,square
94,0.000648036,1288,255.45,1,0.2,840,0.373333333,0.154929577,15680,,C4,square
95,,203412,124.15,0.233,15.35454545,30870,58.96,2.771387324,1526280,,C4,circle
96,,16100,267.15,0.849,2.618181818,8910,4.666666667,1.721915493,181160,,C3,square
97,,38709,273,0.786,6.427272727,19845,11.22,3.913394366,420840,,C2,square
98,0.000810045,2760,438.75,0.783,0.736363636,1410,0.8,0.446640845,29960,0.195063312,C1,square
99,0.001782098,5060,206.7,0.777,0.636363636,2565,1.466666667,0.383028169,54740,,C2,square
100,,2944,258.7,0.828,0.463636364,1590,0.853333333,0.297380282,32760,,C4,square
101,0.003402187,7728,274.95,0.979,1.290909091,4935,2.24,0.979,93100,,C4,square
102,,23184,,0.778,2.581818182,11760,6.72,1.556,250880,,C3,square
103,,3726,,0.988,0.354545455,2400,1.08,0.271352113,45080,,C3,square
104,,37881,,0.744,4.890909091,18375,10.98,2.818816901,402080,,C1,square
105,0.002673147,6831,168.35,0.774,0.7,3450,1.98,0.419704225,73780,,C2,square
106,,8142,,0.881,0.763636364,4680,2.36,0.52115493,93240,,C3,square
107,0.002511138,20677,300.95,0.726,3.781818182,9795,5.993333333,2.126873239,217280,0.055626125,C3,circle
108,,6601,,0.777,0.9,3345,1.913333333,0.541711268,71400,,C3,square
109,0.005427299,10787,167.7,0.548,1.1,3855,3.126666667,0.466957746,101640,,C4,square
110,,6049,98.8,1,0.363636364,3945,1.753333333,0.281690141,73640,,C2,square
111,,1150,,1,0.163636364,750,0.333333333,0.126760563,14000,,C3,square
112,0.002511138,3565,155.35,0.974,0.336363636,2265,1.033333333,0.253788732,42840,,C4,square
113,,22977,135.85,0.571,1.9,8550,6.66,0.840415493,219660,,C3,square
114,0.00145808,3726,352.95,0.815,0.8,1980,1.08,0.505070423,41160,0.674174723,C3,square
115,,66033,167.05,0.644,6.709090909,27735,19.14,3.346985915,660800,,C1,square
116,,58949,,0.677,5.718181818,26010,17.08666667,2.998823944,601580,,C4,square
117,,644,,0.571,0.072727273,240,0.186666667,0.032169014,6160,,C3,square
118,0.01036857,20608,131.95,0.663,1.654545455,8910,5.973333333,0.849760563,208600,,C4,square
119,,1955,,1,0.681818182,1275,0.566666667,0.528169014,23800,,C4,circle
120,,920,,0.9,0.181818182,540,0.266666667,0.126760563,10640,,C2,square
121,0.005427299,18492,244.4,0.751,2.745454545,9060,5.36,1.597197183,197120,,C4,square
122,0.001701094,7728,61.75,0.515,0.290909091,2595,2.24,0.116056338,71260,,C2,circle
123,0.000405022,920,341.25,1,0.190909091,600,0.266666667,0.147887324,11200,0.048656181,C2,square
124,,10810,,0.845,1,5955,3.133333333,0.654577465,121380,,C2,square
125,0.001215067,2415,148.85,0.886,0.218181818,1395,0.7,0.149746479,27720,,C3,square
126,0.000972053,2760,146.25,0.558,0.245454545,1005,0.8,0.106098592,26180,,C4,square
127,0.022519239,57546,167.7,0.798,5.863636364,29955,16.68,3.62471831,629860,,C3,square
128,0.004050223,9200,245.7,0.915,1.372727273,5490,2.666666667,0.972992958,107240,,C2,square
129,0.004779263,8142,174.2,0.692,0.863636364,3675,2.36,0.462957746,83860,,C1,square
130,0.007776428,19872,182.65,0.815,2.209090909,10560,5.76,1.394683099,219520,,C3,square
131,,21045,160.55,0.515,2.054545455,7065,6.1,0.819647887,194040,,C3,square
132,0.004941272,11224,222.3,0.875,1.518181818,6405,3.253333333,1.029049296,128100,,C2,square
133,,28980,,0.883,5.227272727,16695,8.4,3.575528169,332220,,C2,square
134,,920,,0.975,0.218181818,585,0.266666667,0.164788732,11060,,C2,square
135,,110745,,0.788,8.372727273,56895,32.1,5.110901408,1205120,,C2,square
136,,13041,187.85,0.778,1.490909091,6615,3.78,0.898535211,141120,,C4,square
137,0.000648036,184,650,1,0.072727273,120,0.053333333,0.056338028,2240,0.281675192,C3,circle
138,0.001053058,2093,200.2,0.978,0.254545455,1335,0.606666667,0.19284507,25200,,C3,square
139,0.000567031,1127,172.25,0.612,0.118181818,450,0.326666667,0.056028169,11060,,C3,square
140,0.000891049,2783,279.5,0.802,0.472727273,1455,0.806666667,0.293690141,30520,,C4,square
141,0.011583637,3289,86.45,1,0.172727273,2145,0.953333333,0.133802817,40040,,C3,square
142,0.002511138,7130,205.4,0.752,0.890909091,3495,2.066666667,0.518985915,76020,,C2,square
143,,6923,354.25,0.973,1.490909091,4395,2.006666667,1.123746479,83160,0.161721861,C1,square
144,,2737,,0.95,0.281818182,1695,0.793333333,0.207394366,32480,,C4,square
145,0.006480356,16560,190.45,0.868,1.918181818,9375,4.8,1.289774648,188300,,C3,square
146,0.001134062,2254,219.05,0.99,0.3,1455,0.653333333,0.230070423,27300,,C3,square
147,0.01490482,42320,211.25,0.626,5.436363636,17280,12.26666667,2.636253521,418880,,C2,square
148,0.002511138,5704,241.15,0.782,0.836363636,2910,1.653333333,0.506647887,61880,,C2,square
149,,5290,,0.891,0.663636364,3075,1.533333333,0.458049296,60900,,C2,square
150,0.010611584,30130,285.35,0.845,5.227272727,16605,8.733333333,3.42165493,338380,,C4,square
151,0.006480356,14720,128.05,0.769,1.145454545,7380,4.266666667,0.682352113,158480,,C2,square
152,,6578,,0.941,0.772727273,4035,1.906666667,0.563274648,77700,,C2,square
153,0.001620089,4140,227.5,0.728,0.572727273,1965,1.2,0.322985915,43540,,C3,square
154,0.00145808,2484,198.9,0.787,0.3,1275,0.72,0.182894366,27020,,C4,square
155,0.004617254,13110,211.9,0.695,1.690909091,5940,3.8,0.910352113,135240,,C3,square
156,,45402,,0.67,4.990909091,19845,13.16,2.590352113,461580,,C1,square
157,0.001296071,2576,168.35,0.768,0.263636364,1290,0.746666667,0.15684507,27720,,C4,square
158,0.023572296,87009,185.25,0.627,9.818181818,35565,25.22,4.768732394,861560,,C3,square
159,0.004293236,9752,219.05,0.889,1.3,5655,2.826666667,0.895260563,112140,,C2,square
160,0.025840421,73370,155.35,0.674,6.945454545,32235,21.26666667,3.626309859,747460,,C1,square
161,0.00526529,11960,196.3,0.908,1.427272727,7080,3.466666667,1.003915493,138880,,C3,square
162,0.002592143,5888,218.4,0.789,0.781818182,3030,1.706666667,0.47784507,64120,,C2,square
163,,13800,,0.795,1.881818182,7155,4,1.158908451,150780,,C4,square
164,0.004374241,12420,198.9,0.689,1.5,5580,3.6,0.800598592,127680,,C3,square
165,0.006561361,16767,232.05,0.863,2.363636364,9435,4.86,1.580140845,190120,,C4,square
166,0.043337384,110745,105.95,0.6,7.145454545,43305,32.1,3.321126761,1078280,,C2,square
167,0.002511138,3565,272.35,0.948,0.590909091,2205,1.033333333,0.433943662,42280,,C2,square
168,,575,,1,0.227272727,375,0.166666667,0.176056338,7000,,C4,circle
169,,20907,,0.688,2.118181818,9375,6.06,1.128901408,214760,,C4,square
170,0.003159174,6279,95.55,0.48,0.363636364,1965,1.82,0.135211268,56560,,C3,square
171,0.033778858,153456,247.65,0.652,23.11818182,65235,44.48,11.67630986,1542940,,C1,square
172,0.002025111,575,,1,0.227272727,375,0.166666667,0.176056338,7000,,C3,square
173,,3726,,0.765,0.481818182,1860,1.08,0.285528169,40040,,C1,square
174,0.001701094,4347,337.35,0.942,0.890909091,2670,1.26,0.650112676,51380,0.782790944,C2,square
175,0.003078169,6118,212.55,0.951,0.790909091,3795,1.773333333,0.58265493,72660,,C1,square
176,0.00145808,4140,339.3,0.694,0.854545455,1875,1.2,0.459408451,42700,0.280962489,C4,square
177,0.024139328,54832,89.7,0.592,2.990909091,21180,15.89333333,1.371605634,531440,,C3,square
178,,105570,,0.537,6.190909091,36975,30.6,2.575330986,987700,,C1,square
179,,1840,235.95,0.913,0.263636364,1095,0.533333333,0.186457746,21420,,C1,square
180,0.001053058,3588,254.15,0.981,0.554545455,2295,1.04,0.421415493,43260,,C3,square
181,0.00072904,2277,354.25,0.818,0.490909091,1215,0.66,0.311070423,25200,0.406448374,C4,square
182,,3381,,0.857,0.381818182,1890,0.98,0.253478873,38220,,C4,square
183,0.013689753,97175,141.7,0.971,8.390909091,61515,28.16666667,6.3115,1165640,,C4,square
184,,5474,,0.849,0.872727273,3030,1.586666667,0.573971831,61600,,C1,square
185,,7038,,0.925,0.990909091,4245,2.04,0.710035211,82460,,C2,square
186,0.011745646,33350,174.2,0.747,3.536363636,16245,9.666666667,2.046359155,354620,,C4,square
187,0.001701094,5313,205.4,0.58,0.663636364,2010,1.54,0.298169014,51100,,C4,square
188,,8050,,0.711,1.072727273,3735,2.333333333,0.590830986,83860,,C1,square
189,,6394,,1,2.390909091,4170,1.853333333,1.852112676,77840,,C2,circle
190,,10304,,0.911,2.027272727,6120,2.986666667,1.43065493,119840,,C3,square
191,0.033211827,235750,176.8,0.67,25.38181818,103080,68.33333333,13.17352113,2397080,,C2,square
192,0.002754151,7038,267.8,0.902,1.145454545,4140,2.04,0.800366197,81480,,C2,square
193,0.010125557,66125,619.45,1,24.9,43125,19.16666667,19.28873239,805000,0.026671172,C2,square
194,,18768,,0.929,2.990909091,11370,5.44,2.152401408,220360,,C3,square
195,,4048,,1,0.645454545,2640,1.173333333,0.5,49280,,C1,square
196,,7866,137.15,0.561,0.654545455,2880,2.28,0.284450704,74760,,C1,square
197,,2622,205.4,0.886,0.327272727,1515,0.76,0.224619718,30100,,C3,square
198,,4140,,1,0.627272727,2700,1.2,0.485915493,50400,,C3,square
199,0.007209397,20470,163.8,0.496,2.036363636,6615,5.933333333,0.782422535,186340,,C1,square
200,0.004941272,9821,156.65,0.794,0.936363636,5085,2.846666667,0.575929577,107240,,C3,square
201,0.00291616,4140,137.15,0.789,0.345454545,2130,1.2,0.211140845,45080,,C3,square
202,,1104,,0.646,0.218181818,465,0.32,0.109183099,11060,,C2,square
203,0.040259214,137172,193.05,0.733,16.11818182,65610,39.76,9.152176056,1447320,,C3,square
204,0.003888214,8832,143.65,0.557,0.772727273,3210,2.56,0.333415493,83720,,C3,square
205,0.008019441,22770,171.6,0.774,2.372727273,11490,6.6,1.422633803,245840,,C2,square
206,0.000324018,552,433.55,1,0.145454545,360,0.16,0.112676056,6720,0.667371475,C3,square
207,0.001701094,3381,208,0.714,0.427272727,1575,0.98,0.236323944,35280,,C1,square
208,0.005589307,12696,202.8,0.842,1.563636364,6975,3.68,1.019887324,142380,,C4,square
209,0.001863102,4232,243.75,0.88,0.627272727,2430,1.226666667,0.427605634,48440,,C1,square
210,,3220,,0.886,0.472727273,1860,0.933333333,0.324450704,36960,,C1,square
211,0.001134062,1610,297.05,1,0.290909091,1050,0.466666667,0.225352113,19600,0.279459897,C3,square
212,,2576,,0.768,0.518181818,1290,0.746666667,0.30828169,27720,,C2,square
213,,7245,,0.775,0.572727273,3660,2.1,0.343838028,78260,,C2,square
214,,7728,,0.94,1.190909091,4740,2.24,0.867183099,91280,,C1,square
215,,690,,0.767,0.1,345,0.2,0.059415493,7420,,C4,square
216,0.002835156,5635,321.1,1,1.1,3675,1.633333333,0.852112676,68600,0.029436379,C1,square
217,0.002106116,5382,250.25,0.85,0.818181818,2985,1.56,0.538732394,60620,,C2,square
218,,30130,,0.856,5.8,16815,8.733333333,3.845971831,340340,,C2,square
219,0.002997165,5106,198.9,0.811,0.618181818,2700,1.48,0.388366197,56280,,C1,square
220,,4784,243.75,0.947,0.709090909,2955,1.386666667,0.520183099,56700,,C4,square
221,,16008,222.95,0.803,2.172727273,8385,4.64,1.351528169,175700,,C3,square
222,,6095,144.95,0.611,0.536363636,2430,1.766666667,0.253866197,59780,,C1,square
223,8.10E-05,207,650,1,0.081818182,135,0.06,0.063380282,2520,0.420147644,C3,circle
224,0.002025111,6325,234,0.909,0.9,3750,1.833333333,0.633739437,73500,,C4,square
225,,117300,,0.542,7.563636364,41445,34,3.175661972,1100820,,C2,square
226,,18216,129.35,0.662,1.436363636,7860,5.28,0.736591549,184240,,C4,square
227,,34914,,0.848,7.127272727,19305,10.12,4.681915493,392700,,C4,square
228,0.000324018,644,464.1,0.929,0.181818182,390,0.186666667,0.13084507,7560,0.380505668,C3,square
229,,2415,,0.981,0.218181818,1545,0.7,0.165802817,29120,,C3,square
230,,28060,,0.54,3.027272727,9885,8.133333333,1.266338028,263060,,C2,square
231,,8464,,0.791,0.954545455,4365,2.453333333,0.584894366,92260,,C2,square
232,,7797,266.5,0.472,1.263636364,2400,2.26,0.462028169,69860,,C4,circle
233,,13800,,0.828,2.1,7455,4,1.346957746,153580,,C3,square
234,0.010287566,26289,138.45,0.679,2.209090909,11640,7.62,1.161950704,268660,,C4,square
235,0.00072904,1863,473.2,0.889,0.536363636,1080,0.54,0.369373239,21420,0.775642768,C1,square
236,0.000648036,1288,174.2,0.768,0.136363636,645,0.373333333,0.081126761,13860,,C1,square
237,,24150,,0.774,1.7,12195,7,1.01928169,260820,,C4,square
238,,9729,,0.917,1.481818182,5820,2.82,1.052612676,113540,,C1,square
239,0.001377076,2737,256.75,0.782,0.427272727,1395,0.793333333,0.258830986,29680,,C1,square
240,,1518,216.45,0.97,0.2,960,0.44,0.15028169,18200,,C1,square
241,0.001377076,3128,200.85,0.676,0.381818182,1380,0.906666667,0.199943662,31920,,C1,square
242,0.005832321,13248,128.7,0.736,1.036363636,6360,3.84,0.590873239,140000,,C3,square
243,0.007371405,2093,228.8,1,0.290909091,1365,0.606666667,0.225352113,25480,,C3,square
244,0.022033212,50048,120.9,0.539,3.672727273,17580,14.50666667,1.533492958,468720,,C1,square
245,0.019765087,50508,154.05,0.801,4.727272727,26370,14.64,2.933239437,553560,,C4,square
246,,1288,,0.786,0.254545455,660,0.373333333,0.154985915,14000,,C3,square
247,,7038,,0.961,1.054545455,4410,2.04,0.785042254,84000,,C4,square
248,,4830,195,0.81,0.572727273,2550,1.4,0.359366197,53200,,C1,square
249,,10810,,0.751,1.336363636,5295,3.133333333,0.777443662,115220,,C4,square
250,0.010125557,40250,187.85,0.734,4.590909091,19275,11.66666667,2.610352113,424900,,C4,square
251,0.002754151,7038,135.85,0.493,0.581818182,2265,2.04,0.222197183,63980,,C4,square
252,0.00218712,4347,65.65,0.619,0.172727273,1755,1.26,0.082823944,42840,,C2,square
253,,66033,,0.596,6.018181818,25665,19.14,2.778535211,641480,,C1,square
254,0.000243013,3036,388.7,0.841,0.718181818,1665,0.88,0.467880282,34020,0.254722973,C1,circle
255,0.043256379,110538,109.85,0.667,7.372727273,48120,32.04,3.809415493,1121960,,C1,square
256,0.008829486,22563,142.35,0.774,1.954545455,11385,6.54,1.171901408,243600,,C2,square
257,0.00291616,4968,321.75,0.995,0.972727273,3225,1.44,0.749753521,60340,0.400572032,C4,square
258,0.00145808,2898,175.5,0.825,0.309090909,1560,0.84,0.197535211,32200,,C3,square
259,0.00218712,4347,223.6,1,0.590909091,2835,1.26,0.457746479,52920,,C3,square
260,,6118,,0.628,0.609090909,2505,1.773333333,0.296309859,60620,,C4,square
261,0.005670312,61180,38.35,0.062,1.427272727,2475,17.73333333,0.068549296,395500,,C4,circle
262,0.010044552,34224,195,0.869,4.063636364,19395,9.92,2.735514085,389340,,C4,square
263,,9867,159.25,0.534,0.954545455,3435,2.86,0.394859155,92120,,C2,square
264,0.043337384,123050,107.9,0.681,8.081818182,54690,35.66666667,4.263443662,1259440,,C4,square
265,0.006480356,18400,359.45,0.719,4.018181818,8625,5.333333333,2.238014085,192500,0.785396633,C2,square
266,0.002268125,3220,199.55,0.814,0.390909091,1710,0.933333333,0.246492958,35560,,C1,square
267,,2944,284.7,0.891,0.509090909,1710,0.853333333,0.351380282,33880,,C1,square
268,,4761,138.45,0.507,0.4,1575,1.38,0.157098592,43680,,C3,square
269,0.001215067,345,563.55,1,0.118181818,225,0.1,0.091549296,4200,0.199675824,C2,circle
270,,2852,,0.565,0.509090909,1050,0.826666667,0.222816901,27160,,C4,circle
271,0.00218712,3105,173.55,0.622,0.327272727,1260,0.9,0.157690141,30660,,C1,square
272,,155618,208,0.608,19.65454545,61755,45.10666667,9.257014085,1523620,,C3,square
273,0.000324018,644,208.65,0.679,0.081818182,285,0.186666667,0.043035211,6580,,C1,square
274,0.002592143,5888,251.55,0.895,0.9,3435,1.706666667,0.623978873,67900,,C3,square
275,,3910,206.7,0.529,0.490909091,1350,1.133333333,0.201169014,36400,,C1,square
276,0.002754151,6256,276.9,0.985,1.054545455,4020,1.813333333,0.804647887,75600,,C3,square
277,,4991,,0.673,0.563636364,2190,1.446666667,0.29384507,50820,,C1,square
278,,81788,,0.569,12.19090909,30330,23.70666667,5.373443662,780920,,C3,square
279,0.008424463,2392,631.15,1,0.918181818,1560,0.693333333,0.711267606,29120,0.157344923,C3,circle
280,,109480,,0.563,14.87272727,40230,31.73333333,6.486394366,1041880,,C4,square
281,0.003807209,20539,50.7,0.112,0.636363636,1500,5.953333333,0.055211268,139020,,C3,circle
282,0.006561361,16767,252.2,0.897,2.572727273,9810,4.86,1.787683099,193620,,C1,square
283,0.00145808,3726,337.35,0.796,0.763636364,1935,1.08,0.470873239,40740,0.527713675,C3,square
284,,5152,,0.862,0.554545455,2895,1.493333333,0.370295775,58380,,C1,square
285,,16951,,0.844,2.218181818,9330,4.913333333,1.450253521,190260,,C2,square
286,0.002835156,7245,383.5,0.86,1.690909091,4065,2.1,1.126478873,82040,0.084195617,C2,square
287,,14697,,0.379,1.845454545,3630,4.26,0.541809859,123340,,C1,circle
288,,460,,0.8,0.081818182,240,0.133333333,0.050704225,5040,,C3,square
289,,28060,191.1,0.689,3.263636364,12600,8.133333333,1.741908451,288400,,C3,square
290,,14720,,0.914,2.772727273,8775,4.266666667,1.963169014,171500,,C3,square
291,0.033211827,113160,216.45,0.661,14.87272727,48810,32.8,7.615464789,1144360,,C2,square
292,0.001863102,4232,236.6,0.967,0.609090909,2670,1.226666667,0.456260563,50680,,C2,square
293,0.019441069,55200,248.95,0.821,8.354545455,29565,16,5.313373239,611940,,C1,square
294,0.005589307,12696,269.75,0.984,2.081818182,8145,3.68,1.586873239,153300,,C1,square
295,,4347,,0.878,0.609090909,2490,1.26,0.414267606,49700,,C4,square
296,,575,260,0.52,0.090909091,195,0.166666667,0.036619718,5320,,C1,square
297,,1840,252.2,0.925,0.281818182,1110,0.533333333,0.20193662,21560,,C1,square
298,,3910,313.3,0.759,0.745454545,1935,1.133333333,0.438295775,41860,0.457452735,C3,square
299,0.008262454,28152,167.05,0.804,2.863636364,14760,8.16,1.783521127,309120,,C4,square
300,0.012474686,38962,121.55,0.522,2.881818182,13260,11.29333333,1.165309859,360920,,C4,square
301,0.004617254,18354,472.55,0.951,5.272727273,11385,5.32,3.884366197,217980,0.698884572,C2,square
302,0.008343459,28428,229.45,0.724,3.963636364,13425,8.24,2.222985915,298340,,C3,square
303,,6440,257.4,0.986,1.009090909,4140,1.866666667,0.770746479,77840,,C1,square
304,,3128,,0.735,0.572727273,1500,0.906666667,0.326091549,33040,,C1,square
305,,18630,209.95,0.689,2.381818182,8370,5.4,1.271253521,191520,,C2,square
306,,7176,,0.83,0.781818182,3885,2.08,0.502676056,79940,,C4,square
307,0.012231673,31257,120.25,0.566,2.281818182,11535,9.06,1.000464789,297920,,C1,square
308,0.020170109,51543,224.9,0.77,7.054545455,25875,14.94,4.207887324,555240,,C2,square
309,0.028513568,72864,133.25,0.692,5.918181818,32895,21.12,3.172478873,750540,,C1,square
310,,26703,,0.647,1.781818182,11265,7.74,0.893042254,267680,,C1,square
